"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"CA005021920","32294",49.44027778,-96.98444444,1958,"MORRIS",29.4288030281887
"CA005023222","58599",49.76666667,-97.16666667,1995,"WINNIPEG RICHARDSON INT'L A",17.3537428864613
"CA005020880","57659",49.07797778,-96.72455,1995,"EMERSON",34.6565202746792
"CA005023222","20175",50.06222222,-96.51611111,1939,"WINNIPEG RICHARDSON INT'L A",53.764648371545
"CA005023226","74476",49.56616667,-97.01241667,2011,"WINNIPEG RICHARDSON AWOS",42.0853184909265
"USW00094860","MSC0275822",42.90365,-85.35993,2016,"GRAND RAPIDS",15.1141169640739
"USC00446999","251119",37.3255,-80.5939,2015,"RADFORD 3 N",13.8818832660694
"USC00275995","266144",44.0062,-71.27915,2016,"N CONWAY",13.1733211304301
"USW00014835","IND-0159396",40.408445,-87.070978,2021,"LAFAYETTE PURDUE UNIV AP",10.4627481958065
"USC00308317","1725",42.45424,-73.943295,2002,"STUYVESANT 5 N",15.8741402372472
"USC00301095","1722",42.218948,-73.816105,1990,"CAIRO 3 NW",20.9036963062662
"USC00301095","1723",42.224224,-73.880694,1987,"CAIRO 3 NW",16.2171110441858
"USC00192913","968111",41.9560778,-71.4289639,2016,"FOXBORO",20.8380420010027
"USC00476646","v0326267WIS",42.96749,-90.32957,1948,"PLATTEVILLE",26.7156527106855
"USC00132364","v0326270WIS",42.68944,-90.71207,1958,"DUBUQUE L&D 11",17.4718687458674
"USC00211198","v0326264WIS",43.64377333,-91.23816994,1975,"CALEDONIA",21.3447174857458
"USC00475255","v0323495WIS",45.1730556,-90.6377778,2014,"MEDFORD",23.5193844921413
"USC00474937","v0345620WIS",43.1163889,-90.9063889,2017,"LYNXVILLE DAM 9",18.8506635448219
